,buying_price,maintanence,doors,persons,lug_boot,safety,class
0,3,3,0,0,2,2,2
1,3,3,0,0,2,0,2
2,3,3,0,0,1,1,2
3,3,3,0,0,1,2,2
4,3,3,0,0,1,0,2
5,3,3,0,0,0,1,2
6,3,3,0,0,0,2,2
7,3,3,0,0,0,0,2
8,3,3,0,1,2,1,2
9,3,3,0,1,2,2,2
10,3,3,0,1,2,0,2
11,3,3,0,1,1,1,2
12,3,3,0,1,1,2,2
13,3,3,0,1,1,0,2
14,3,3,0,1,0,1,2
15,3,3,0,1,0,2,2
16,3,3,0,1,0,0,2
17,3,3,0,2,2,1,2
18,3,3,0,2,2,2,2
19,3,3,0,2,2,0,2
20,3,3,0,2,1,1,2
21,3,3,0,2,1,2,2
22,3,3,0,2,1,0,2
23,3,3,0,2,0,1,2
24,3,3,0,2,0,2,2
25,3,3,0,2,0,0,2
26,3,3,1,0,2,1,2
27,3,3,1,0,2,2,2
28,3,3,1,0,2,0,2
29,3,3,1,0,1,1,2
30,3,3,1,0,1,2,2
31,3,3,1,0,1,0,2
32,3,3,1,0,0,1,2
33,3,3,1,0,0,2,2
34,3,3,1,0,0,0,2
35,3,3,1,1,2,1,2
36,3,3,1,1,2,2,2
37,3,3,1,1,2,0,2
38,3,3,1,1,1,1,2
39,3,3,1,1,1,2,2
40,3,3,1,1,1,0,2
41,3,3,1,1,0,1,2
42,3,3,1,1,0,2,2
43,3,3,1,1,0,0,2
44,3,3,1,2,2,1,2
45,3,3,1,2,2,2,2
46,3,3,1,2,2,0,2
47,3,3,1,2,1,1,2
48,3,3,1,2,1,2,2
49,3,3,1,2,1,0,2
50,3,3,1,2,0,1,2
51,3,3,1,2,0,2,2
52,3,3,1,2,0,0,2
53,3,3,2,0,2,1,2
54,3,3,2,0,2,2,2
55,3,3,2,0,2,0,2
56,3,3,2,0,1,1,2
57,3,3,2,0,1,2,2
58,3,3,2,0,1,0,2
59,3,3,2,0,0,1,2
60,3,3,2,0,0,2,2
61,3,3,2,0,0,0,2
62,3,3,2,1,2,1,2
63,3,3,2,1,2,2,2
64,3,3,2,1,2,0,2
65,3,3,2,1,1,1,2
66,3,3,2,1,1,2,2
67,3,3,2,1,1,0,2
68,3,3,2,1,0,1,2
69,3,3,2,1,0,2,2
70,3,3,2,1,0,0,2
71,3,3,2,2,2,1,2
72,3,3,2,2,2,2,2
73,3,3,2,2,2,0,2
74,3,3,2,2,1,1,2
75,3,3,2,2,1,2,2
76,3,3,2,2,1,0,2
